Genome,ERR11181229.sorted Relative Abundance (%),ERR11181230.sorted Relative Abundance (%),ERR11181231.sorted Relative Abundance (%),ERR11181232.sorted Relative Abundance (%),ERR11181233.sorted Relative Abundance (%),ERR11181234.sorted Relative Abundance (%),ERR11181235.sorted Relative Abundance (%),ERR11181236.sorted Relative Abundance (%),ERR11181237.sorted Relative Abundance (%),ERR11181238.sorted Relative Abundance (%),ERR11181239.sorted Relative Abundance (%),ERR11181240.sorted Relative Abundance (%),ERR11181241.sorted Relative Abundance (%),ERR11181242.sorted Relative Abundance (%),ERR11181243.sorted Relative Abundance (%),ERR11181244.sorted Relative Abundance (%),ERR11181245.sorted Relative Abundance (%),ERR11181246.sorted Relative Abundance (%),ERR11181247.sorted Relative Abundance (%),ERR11181248.sorted Relative Abundance (%),ERR11181249.sorted Relative Abundance (%),ERR11181250.sorted Relative Abundance (%),TotalAbundance
binning_output.163,0.021950131,0.0,0.06669728,0.017592708,0.03244673,0.015934529,0.03247358,0.0,0.033368096,0.052587885,0.0,0.0,0.039256487,0.0,0.015143592,0.02522831,0.0,0.035028897,0.049835265,0.02964853,0.11176308,0.0,0.5789551
binning_output.202,0.021115506,0.0,0.021386,0.023888906,0.018476717,0.0213644,0.031366,0.016301807,0.021074412,0.025532639,0.032236136,0.0528174,0.03679734,0.013241296,0.020736422,0.055355217,0.03985038,0.071082085,0.028285293,0.027543085,0.0,0.0,0.5784510410000001
binning_output.258,0.0,0.08848149,0.027742537,0.0,0.0,0.02197386,0.06642792,0.0,0.02083335,0.048017796,0.030420292,0.053009443,0.057028737,0.01624344,0.01681772,0.021135757,0.018964149,0.014996799,0.015777655,0.014389245,0.0,0.038891993,0.5711521829999999
binning_output.254,0.0,0.0713258,0.0,0.022502419,0.0,0.0,0.0,0.0,0.03019442,0.0,0.0,0.0,0.020096991,0.0,0.0,0.10677735,0.0,0.10891132,0.0,0.0,0.0,0.21101125,0.57081955
binning_output.161,0.030275717,0.0,0.046179753,0.03700671,0.024609065,0.032447252,0.029428288,0.0,0.0,0.015946286,0.0,0.09044615,0.03225218,0.06319655,0.058707006,0.0,0.021215033,0.0,0.037998848,0.0,0.049604926,0.0,0.569313764
binning_output.199,0.024844838,0.0,0.037474457,0.035408273,0.038172938,0.04615328,0.036596734,0.008784246,0.019881187,0.013467779,0.0,0.09536801,0.043210328,0.028450923,0.059523355,0.0,0.0,0.0175812,0.03103558,0.014036047,0.017531494,0.0,0.567520669
binning_output.253,0.02454057,0.0,0.017273037,0.016771814,0.015064579,0.022291457,0.023663595,0.023533896,0.0,0.020717558,0.031034686,0.0821981,0.022028074,0.009694267,0.021088544,0.033898447,0.03701061,0.03495656,0.017408935,0.020496279,0.038077325,0.05342341,0.565171743
binning_output.205,0.0,0.15459472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037079737,0.0,0.0,0.07927085,0.0,0.02102357,0.0,0.0,0.12696458,0.14617158,0.5651050369999999
binning_output.168,0.024408042,0.0,0.031216389,0.04887483,0.03323982,0.042524666,0.031394273,0.016177528,0.036474843,0.025214849,0.0,0.023030415,0.029400073,0.023183899,0.024998592,0.0,0.037522405,0.030544214,0.03462816,0.030856267,0.0,0.03607785,0.5597671150000001
binning_output.206,0.031866815,0.0,0.013892071,0.02113698,0.016502943,0.02294977,0.021806011,0.027251953,0.0,0.01777579,0.024062129,0.067635074,0.019701663,0.009598046,0.026796125,0.032333743,0.036131725,0.06728918,0.012205887,0.03426678,0.05201353,0.0,0.555216215
binning_output.239,0.0,0.043805,0.017041655,0.0,0.013871646,0.0,0.018022675,0.0,0.0,0.01907824,0.0,0.0,0.053905286,0.0,0.013000281,0.086115085,0.07964074,0.018833175,0.017902924,0.0,0.10629477,0.06603608,0.5535475569999999
binning_output.184,0.036308754,0.0,0.035304293,0.044209905,0.03244633,0.022178426,0.01927724,0.021866562,0.018522236,0.017871978,0.0,0.037496712,0.019100035,0.04870162,0.032142792,0.041559026,0.032765288,0.0,0.029223438,0.02706054,0.029440008,0.0,0.5454751830000001
binning_output.204,0.02242947,0.0,0.03684331,0.03715837,0.036453236,0.04539823,0.033992566,0.009524085,0.019158376,0.012708797,0.0,0.09230543,0.042881466,0.023102991,0.05655745,0.0,0.0,0.016887063,0.03172801,0.010866645,0.016116451,0.0,0.544111946
binning_output.226,0.042599015,0.0,0.021505123,0.02576975,0.021424346,0.018889612,0.022530477,0.010980668,0.035116732,0.036448512,0.0,0.019705249,0.01490241,0.058445275,0.011226467,0.03511494,0.03914138,0.029842343,0.014750649,0.044329606,0.040274225,0.0,0.542996779
binning_output.209,0.0,0.0,0.04678668,0.016211784,0.026235469,0.06645806,0.022842363,0.031599242,0.021528559,0.0,0.0,0.05191669,0.01618791,0.009418435,0.027517831,0.0,0.13218597,0.018542036,0.03891061,0.014062339,0.0,0.0,0.540403978
binning_output.201,0.032250803,0.0,0.026970688,0.016501566,0.021958748,0.0145216705,0.01792644,0.017101526,0.021461304,0.034251373,0.021789322,0.0,0.034115065,0.113038965,0.0,0.038461868,0.042261384,0.021577071,0.025875114,0.039910905,0.0,0.0,0.5399738125000001
binning_output.174,0.023703218,0.0,0.02627226,0.014750473,0.018124657,0.031785034,0.041473374,0.0,0.10396978,0.028463682,0.026694965,0.0,0.049641363,0.013953993,0.015181482,0.041439258,0.020205088,0.035156377,0.018015236,0.030250503,0.0,0.0,0.539080743
binning_output.167,0.015018894,0.0,0.031888258,0.031160526,0.02886637,0.035391178,0.03316573,0.02999837,0.049272586,0.026576517,0.0,0.023302393,0.032056354,0.02559643,0.030351702,0.0,0.06917644,0.02556061,0.02486165,0.024271367,0.0,0.0,0.5365153749999999
binning_output.224,0.0,0.18621905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060936384,0.0,0.0,0.0,0.0,0.0,0.28733706,0.534492494
binning_output.236,0.02387325,0.07341273,0.018951183,0.014380245,0.015598325,0.013152297,0.019241627,0.011766381,0.023424812,0.020245224,0.0,0.018969897,0.020030115,0.039942343,0.010282792,0.0,0.03003297,0.019129546,0.017146684,0.026109045,0.0,0.11722286,0.532912326
binning_output.262,0.0,0.0,0.0,0.0,0.0,0.0,0.015902057,0.0,0.010887812,0.015454248,0.0,0.0,0.14207979,0.0,0.0,0.28818843,0.0,0.045883086,0.013653996,0.0,0.0,0.0,0.5320494189999999
binning_output.135,0.18701403,0.0,0.017854251,0.024729932,0.021781335,0.0,0.0,0.0,0.0,0.022554629,0.0,0.0,0.0,0.2013467,0.007576498,0.0,0.0,0.025782146,0.0,0.019930344,0.0,0.0,0.528569865
