Contig	ERR11181229.sorted Read Count	ERR11181230.sorted Read Count	ERR11181231.sorted Read Count	ERR11181232.sorted Read Count	ERR11181233.sorted Read Count	ERR11181234.sorted Read Count	ERR11181235.sorted Read Count	ERR11181236.sorted Read Count	ERR11181237.sorted Read Count	ERR11181238.sorted Read Count	ERR11181239.sorted Read Count	ERR11181240.sorted Read Count	ERR11181241.sorted Read Count	ERR11181242.sorted Read Count	ERR11181243.sorted Read Count	ERR11181244.sorted Read Count	ERR11181245.sorted Read Count	ERR11181246.sorted Read Count	ERR11181247.sorted Read Count	ERR11181248.sorted Read Count	ERR11181249.sorted Read Count	ERR11181250.sorted Read Count
AAV85982.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG08162.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDO61516.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO11759.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC73788.1	0	0	2	2	0	9	7	20	8	0	0	16	1	0	20	0	17	1	6	1	0	0
AAC73564.1	7	0	15	19	16	108	12	133	34	6	0	63	16	38	132	0	97	3	15	19	6	0
AAB28795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEH26330.1	2	0	3	4	7	0	1	3	2	2	0	4	2	14	10	0	13	2	6	9	1	0
AAG03547.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADO96486.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG07763.1	11	5	17	28	3	42	29	8	38	20	26	6	20	31	42	11	16	47	41	26	5	2
AAC76539.1	4	0	14	29	8	90	11	75	66	3	0	37	13	34	138	1	93	10	18	21	4	0
AAW66497.1	85	0	346	146	146	481	83	490	151	37	30	602	79	134	1135	17	746	73	307	138	29	0
AAA99504.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APB03214.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB64408.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC75271.1	2	0	8	2	7	18	2	37	13	0	0	23	6	15	56	2	42	4	0	3	4	0
ABZ01840.1	9	0	1	10	4	12	13	18	4	12	6	43	1	23	18	4	26	18	9	25	8	0
AAC75136.1	10	0	11	26	16	79	12	71	38	2	0	35	18	42	130	0	58	10	8	8	7	0
CAM12479.1	4	0	11	13	14	14	6	12	4	4	0	44	9	21	149	9	6	5	9	12	2	0
APB03215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYF42523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAF67494.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG05882.1	45	5	39	23	23	84	54	27	193	40	38	19	73	62	75	24	47	88	44	103	4	7
AAG03380.1	3	0	0	4	0	6	1	5	0	1	0	2	3	4	2	0	1	0	6	10	0	0
AAC60781.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAD12227.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAF42063.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAE06008.1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	2	4	0	0	1	4	0	0
ANZ79240.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC77293.1	0	0	0	2	6	23	1	24	8	0	0	13	4	9	17	0	23	6	0	4	0	0
AAG07762.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEX49906.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
